FIS-Code-Nr.;Name;Vorname;Verband;Verein;Jahrgang;Geschlecht;FIS-Distanzpunkte;FIS-Sprintpunkte;Startnummer;Gruppe;DSV-Id;Startpass;Leer;Nation;Transponder;Melder-Name;Melder-Adresse;Melder-Telefon;Melder-Mobil;Melder-Email;Nachname Vorname
;Name 14;Vorname 14;BSV-MU;TSV Vaterstetten;2010;m;;;;;70014;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 14 Vorname 14
;Name 15;Vorname 15;BSV-MU;TSV Vaterstetten;2011;m;;;;;70015;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 15 Vorname 15
;Name 16;Vorname 16;BSV-MU;TSV Vaterstetten;2010;m;;;;;70016;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 16 Vorname 16
;Name 17;Vorname 17;BSV-MU;TSV Vaterstetten;2011;w;;;;;70017;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 17 Vorname 17
;Name 18;Vorname 18;BSV-MU;TSV Vaterstetten;2011;m;;;;;70018;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 18 Vorname 18
;Name 19;Vorname 19;BSV-MU;TSV Vaterstetten;2012;m;;;;;70019;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 19 Vorname 19
;Name 20;Vorname 20;BSV-MU;TSV Vaterstetten;2012;m;;;;;70020;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 20 Vorname 20
;Name 21;Vorname 21;BSV-MU;TSV Vaterstetten;2012;w;;;;;70021;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 21 Vorname 21
;Name 22;Vorname 22;BSV-MU;TSV Vaterstetten;2011;m;;;;;70022;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 22 Vorname 22
;Name 23;Vorname 23;BSV-MU;TSV Vaterstetten;1980;m;;;;;70023;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 23 Vorname 23
;Name 24;Vorname 24;BSV-MU;TSV Vaterstetten;1974;w;;;;;70024;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 24 Vorname 24
;Name 25;Vorname 25;BSV-MU;TSV Vaterstetten;1973;m;;;;;70025;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 25 Vorname 25
;Name 26;Vorname 26;BSV-MU;TSV Vaterstetten;1966;m;;;;;70026;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 26 Vorname 26
;Name 27;Vorname 27;BSV-MU;TSV Vaterstetten;1977;m;;;;;70027;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 27 Vorname 27
;Name 28;Vorname 28;BSV-MU;TSV Vaterstetten;1978;w;;;;;70028;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 28 Vorname 28
;Name 29;Vorname 29;;TSV Vaterstetten;2004;m;;;;;70029;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 29 Vorname 29
;Name 30;Vorname 30;;TSV Vaterstetten;2007;m;;;;;70030;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 30 Vorname 30
;Name 31;Vorname 31;;TSV Vaterstetten;1950;m;;;;;70031;;;;;Melder 1;Melder Adresse 1;+49123456789;+49123456789;melder1@melder.de;Name 31 Vorname 31
;Name 32;Vorname 32;BSV-MU;SC Poing;2005;m;;;;;70032;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 32 Vorname 32
;Name 33;Vorname 33;BSV-MU;SC Poing;2007;w;;;;;70033;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 33 Vorname 33
;Name 34;Vorname 34;BSV-MU;SC Poing;2009;m;;;;;70034;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 34 Vorname 34
;Name 35;Vorname 35;BSV-MU;SC Poing;2012;w;;;;;70035;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 35 Vorname 35
;Name 36;Vorname 36;BSV-MU;SC Poing;2009;m;;;;;70036;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 36 Vorname 36
;Name 37;Vorname 37;BSV-MU;SC Poing;2009;m;;;;;70037;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 37 Vorname 37
;Name 38;Vorname 38;BSV-MU;SC Poing;1973;w;;;;;70038;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 38 Vorname 38
;Name 39;Vorname 39;BSV-MU;SC Poing;2006;m;;;;;70039;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 39 Vorname 39
;Name 40;Vorname 40;BSV-MU;SC Poing;2003;m;;;;;70040;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 40 Vorname 40
;Name 41;Vorname 41;BSV-MU;SC Poing;2012;w;;;;;70041;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 41 Vorname 41
;Name 42;Vorname 42;BSV-MU;SC Poing;2012;m;;;;;70042;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 42 Vorname 42
;Name 43;Vorname 43;BSV-MU;SC Poing;2010;w;;;;;70043;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 43 Vorname 43
;Name 44;Vorname 44;BSV-MU;SC Poing;2009;m;;;;;70044;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 44 Vorname 44
;Name 45;Vorname 45;BSV-MU;SC Poing;2005;m;;;;;70045;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 45 Vorname 45
;Name 46;Vorname 46;BSV-MU;SC Poing;2009;w;;;;;70046;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 46 Vorname 46
;Name 47;Vorname 47;BSV-MU;SC Poing;2005;m;;;;;70047;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 47 Vorname 47
;Name 48;Vorname 48;BSV-MU;SC Poing;2011;w;;;;;70048;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 48 Vorname 48
;Name 49;Vorname 49;;RSC Elkofen;2002;m;;;;;70049;;;;;Melder 2;Melder Adresse 2;+49123456789;+49123456789;melder2@melder.de;Name 49 Vorname 49
;Name 50;Vorname 50;BSV-MU;SC Falkenberg;2006;w;;;;;70050;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 50 Vorname 50
;Name 51;Vorname 51;BSV-MU;SC Falkenberg;1971;m;;;;;70051;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 51 Vorname 51
;Name 52;Vorname 52;BSV-MU;SC Falkenberg;2005;m;;;;;70052;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 52 Vorname 52
;Name 53;Vorname 53;BSV-MU;SC Falkenberg;2009;w;;;;;70053;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 53 Vorname 53
;Name 54;Vorname 54;BSV-MU;SC Falkenberg;1969;w;;;;;70054;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 54 Vorname 54
;Name 55;Vorname 55;BSV-MU;SC Falkenberg;2009;w;;;;;70055;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 55 Vorname 55
;Name 56;Vorname 56;BSV-MU;SC Falkenberg;2005;w;;;;;70056;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 56 Vorname 56
;Name 57;Vorname 57;BSV-MU;SC Falkenberg;1965;m;;;;;70057;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 57 Vorname 57
;Name 58;Vorname 58;BSV-MU;SC Falkenberg;2004;m;;;;;70058;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 58 Vorname 58
;Name 59;Vorname 59;BSV-MU;SC Falkenberg;2009;m;;;;;70059;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 59 Vorname 59
;Name 60;Vorname 60;BSV-MU;SC Falkenberg;2008;m;;;;;70060;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 60 Vorname 60
;Name 61;Vorname 61;BSV-MU;SC Falkenberg;2006;m;;;;;70061;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 61 Vorname 61
;Name 62;Vorname 62;BSV-MU;SC Falkenberg;2005;m;;;;;70062;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 62 Vorname 62
;Name 63;Vorname 63;BSV-MU;SC Falkenberg;2007;w;;;;;70063;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 63 Vorname 63
;Name 64;Vorname 64;BSV-MU;SC Falkenberg;1974;m;;;;;70064;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 64 Vorname 64
;Name 65;Vorname 65;BSV-MU;SC Falkenberg;2009;m;;;;;70065;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 65 Vorname 65
;Name 66;Vorname 66;BSV-MU;SC Falkenberg;2007;m;;;;;70066;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 66 Vorname 66
;Name 67;Vorname 67;BSV-MU;SC Falkenberg;2000;m;;;;;70067;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 67 Vorname 67
;Name 68;Vorname 68;BSV-MU;SC Falkenberg;2007;m;;;;;70068;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 68 Vorname 68
;Name 69;Vorname 69;BSV-MU;SC Falkenberg;2007;w;;;;;70069;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 69 Vorname 69
;Name 70;Vorname 70;BSV-MU;SC Falkenberg;2009;m;;;;;70070;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 70 Vorname 70
;Name 71;Vorname 71;BSV-MU;SC Falkenberg;2007;w;;;;;70071;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 71 Vorname 71
;Name 72;Vorname 72;BSV-MU;SC Falkenberg;2007;m;;;;;70072;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 72 Vorname 72
;Name 73;Vorname 73;BSV-MU;SC Falkenberg;2008;m;;;;;70073;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 73 Vorname 73
;Name 74;Vorname 74;BSV-MU;SC Falkenberg;1991;m;;;;;70074;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 74 Vorname 74
;Name 75;Vorname 75;BSV-MU;SC Falkenberg;1996;m;;;;;70075;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 75 Vorname 75
;Name 76;Vorname 76;BSV-MU;SC Falkenberg;2012;m;;;;;70076;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 76 Vorname 76
;Name 77;Vorname 77;BSV-MU;SC Falkenberg;2009;w;;;;;70077;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 77 Vorname 77
;Name 78;Vorname 78;BSV-MU;SC Falkenberg;1971;m;;;;;70078;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 78 Vorname 78
;Name 79;Vorname 79;BSV-MU;SC Falkenberg;2001;m;;;;;70079;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 79 Vorname 79
;Name 80;Vorname 80;BSV-MU;SC Falkenberg;2012;m;;;;;70080;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 80 Vorname 80
;Name 81;Vorname 81;BSV-MU;SC Falkenberg;2008;m;;;;;70081;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 81 Vorname 81
;Name 82;Vorname 82;BSV-MU;SC Falkenberg;2004;w;;;;;70082;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 82 Vorname 82
;Name 83;Vorname 83;BSV-MU;SC Falkenberg;1998;m;;;;;70083;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 83 Vorname 83
;Name 84;Vorname 84;BSV-MU;SC Falkenberg;1998;m;;;;;70084;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 84 Vorname 84
;Name 85;Vorname 85;BSV-MU;SC Falkenberg;2008;w;;;;;70085;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 85 Vorname 85
;Name 86;Vorname 86;BSV-MU;SC Falkenberg;2008;w;;;;;70086;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 86 Vorname 86
;Name 87;Vorname 87;BSV-MU;SC Falkenberg;2008;w;;;;;70087;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 87 Vorname 87
;Name 88;Vorname 88;BSV-MU;SC Falkenberg;2007;w;;;;;70088;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 88 Vorname 88
;Name 89;Vorname 89;BSV-MU;SC Falkenberg;2008;m;;;;;70089;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 89 Vorname 89
;Name 90;Vorname 90;BSV-MU;SC Falkenberg;2002;m;;;;;70090;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 90 Vorname 90
;Name 91;Vorname 91;BSV-MU;SC Falkenberg;1969;w;;;;;70091;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 91 Vorname 91
;Name 92;Vorname 92;;SC Falkenberg;2002;m;;;;;70092;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 92 Vorname 92
;Name 93;Vorname 93;;SC Falkenberg;2003;w;;;;;70093;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 93 Vorname 93
;Name 94;Vorname 94;;SC Falkenberg;2003;w;;;;;70094;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 94 Vorname 94
;Name 95;Vorname 95;;SC Falkenberg;1970;m;;;;;70095;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 95 Vorname 95
;Name 96;Vorname 96;;ASV Glonn;2004;m;;;;;70096;;;;;Melder 3;Melder Adresse 3;+49123456789;+49123456789;melder3@melder.de;Name 96 Vorname 96
;Name 97;Vorname 97;BSV-MU;WSV Glonn;2009;w;;;;;70097;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 97 Vorname 97
;Name 98;Vorname 98;BSV-MU;WSV Glonn;2007;m;;;;;70098;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 98 Vorname 98
;Name 99;Vorname 99;BSV-MU;WSV Glonn;2007;w;;;;;70099;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 99 Vorname 99
;Name 100;Vorname 100;BSV-MU;WSV Glonn;2009;m;;;;;70100;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 100 Vorname 100
;Name 101;Vorname 101;BSV-MU;WSV Glonn;1977;w;;;;;70101;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 101 Vorname 101
;Name 102;Vorname 102;;WSV Glonn;1981;m;;;;;70102;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 102 Vorname 102
;Name 103;Vorname 103;;WSV Glonn;2012;m;;;;;70103;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 103 Vorname 103
;Name 104;Vorname 104;;WSV Glonn;1999;w;;;;;70104;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 104 Vorname 104
;Name 105;Vorname 105;BSV-MU;WSV Glonn;2009;w;;;;;70105;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 105 Vorname 105
;Name 106;Vorname 106;BSV-MU;WSV Glonn;1996;m;;;;;70106;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 106 Vorname 106
;Name 107;Vorname 107;BSV-MU;WSV Glonn;2003;m;;;;;70107;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 107 Vorname 107
;Name 108;Vorname 108;BSV-MU;WSV Glonn;2007;m;;;;;70108;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 108 Vorname 108
;Name 109;Vorname 109;BSV-MU;WSV Glonn;2005;w;;;;;70109;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 109 Vorname 109
;Name 110;Vorname 110;BSV-MU;WSV Glonn;2013;w;;;;;70110;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 110 Vorname 110
;Name 111;Vorname 111;;WSV Glonn;2011;w;;;;;70111;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 111 Vorname 111
;Name 112;Vorname 112;;WSV Glonn;2008;m;;;;;70112;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 112 Vorname 112
;Name 113;Vorname 113;BSV-MU;WSV Glonn;2013;m;;;;;70113;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 113 Vorname 113
;Name 114;Vorname 114;BSV-MU;WSV Glonn;2010;m;;;;;70114;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 114 Vorname 114
;Name 115;Vorname 115;BSV-MU;WSV Glonn;2008;m;;;;;70115;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 115 Vorname 115
;Name 116;Vorname 116;BSV-MU;WSV Glonn;2008;m;;;;;70116;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 116 Vorname 116
;Name 117;Vorname 117;BSV-MU;WSV Glonn;2012;m;;;;;70117;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 117 Vorname 117
;Name 118;Vorname 118;BSV-MU;WSV Glonn;2013;w;;;;;70118;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 118 Vorname 118
;Name 119;Vorname 119;BSV-MU;WSV Glonn;2008;m;;;;;70119;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 119 Vorname 119
;Name 120;Vorname 120;;WSV Glonn;1976;m;;;;;70120;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 120 Vorname 120
;Name 121;Vorname 121;BSV-MU;WSV Glonn;2010;w;;;;;70121;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 121 Vorname 121
;Name 122;Vorname 122;BSV-MU;WSV Glonn;2012;m;;;;;70122;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 122 Vorname 122
;Name 123;Vorname 123;BSV-MU;WSV Glonn;2011;m;;;;;70123;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 123 Vorname 123
;Name 124;Vorname 124;BSV-MU;WSV Glonn;2006;m;;;;;70124;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 124 Vorname 124
;Name 125;Vorname 125;;WSV Glonn;2009;m;;;;;70125;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 125 Vorname 125
;Name 126;Vorname 126;BSV-MU;WSV Glonn;2011;w;;;;;70126;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 126 Vorname 126
;Name 127;Vorname 127;BSV-MU;WSV Glonn;2013;m;;;;;70127;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 127 Vorname 127
;Name 128;Vorname 128;BSV-MU;WSV Glonn;2006;m;;;;;70128;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 128 Vorname 128
;Name 129;Vorname 129;BSV-MU;WSV Glonn;2008;m;;;;;70129;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 129 Vorname 129
;Name 130;Vorname 130;BSV-MU;WSV Glonn;2011;w;;;;;70130;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 130 Vorname 130
;Name 131;Vorname 131;BSV-MU;WSV Glonn;2013;w;;;;;70131;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 131 Vorname 131
;Name 132;Vorname 132;BSV-MU;WSV Glonn;2005;m;;;;;70132;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 132 Vorname 132
;Name 133;Vorname 133;BSV-MU;WSV Glonn;2011;m;;;;;70133;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 133 Vorname 133
;Name 134;Vorname 134;BSV-MU;WSV Glonn;2008;m;;;;;70134;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 134 Vorname 134
;Name 135;Vorname 135;;WSV Glonn;1998;m;;;;;70135;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 135 Vorname 135
;Name 136;Vorname 136;BSV-MU;WSV Glonn;1970;m;;;;;70136;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 136 Vorname 136
;Name 137;Vorname 137;BSV-MU;WSV Glonn;2004;m;;;;;70137;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 137 Vorname 137
;Name 138;Vorname 138;BSV-MU;WSV Glonn;2009;w;;;;;70138;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 138 Vorname 138
;Name 139;Vorname 139;;WSV Glonn;1996;w;;;;;70139;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 139 Vorname 139
;Name 140;Vorname 140;BSV-MU;WSV Glonn;2011;m;;;;;70140;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 140 Vorname 140
;Name 141;Vorname 141;BSV-MU;WSV Glonn;2011;w;;;;;70141;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 141 Vorname 141
;Name 142;Vorname 142;BSV-MU;WSV Glonn;2013;m;;;;;70142;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 142 Vorname 142
;Name 143;Vorname 143;;WSV Glonn;2014;w;;;;;70143;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 143 Vorname 143
;Name 144;Vorname 144;;WSV Glonn;2012;w;;;;;70144;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 144 Vorname 144
;Name 145;Vorname 145;;WSV Glonn;2007;m;;;;;70145;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 145 Vorname 145
;Name 146;Vorname 146;BSV-MU;WSV Glonn;2007;m;;;;;70146;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 146 Vorname 146
;Name 147;Vorname 147;;WSV Glonn;2002;w;;;;;70147;;;;;Melder 4;Melder Adresse 4;+49123456789;+49123456789;melder4@melder.de;Name 147 Vorname 147
